City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
178,Sao Joao Da Barra,BR,72.23,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
180,Tocopilla,CL,67.73,few clouds,-22.092,-70.1979,Hotel Galvarino
182,Hualmay,PE,70.54,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
183,Hirara,JP,68.59,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
184,Praia,CV,72.05,scattered clouds,14.9215,-23.5087,LT Aparthotel
185,Holland,US,53.44,overcast clouds,42.7875,-86.1089,Hampton Inn Holland
186,Havelock,US,51.94,clear sky,34.8791,-76.9013,Sherwood Motel
187,Manhattan,US,46.6,scattered clouds,40.7834,-73.9662,Park 79 Hotel
192,Hargeysa,SO,59.07,broken clouds,9.56,44.065,City Center Hotel
193,Itaituba,BR,72.41,overcast clouds,-4.2761,-55.9836,Hotel Campos
194,Henties Bay,,61.48,broken clouds,-22.116,14.2845,Fishermans Guest House
195,Lodja,CD,68.25,overcast clouds,-3.4833,23.4333,
198,Hamilton,US,57.76,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
200,Cosala,MX,61.97,overcast clouds,24.4125,-106.6908,Hotel Real del Conde
201,San Jacinto,US,55.98,overcast clouds,33.7839,-116.9586,Vagabond Inn Hemet
203,Port Lincoln,AU,65.52,clear sky,-34.7333,135.8667,Port Lincoln Hotel
204,Necochea,AR,65.17,clear sky,-38.5473,-58.7368,Hotel Tres Arroyos
205,Grand-Santi,GF,72.03,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
206,Sinaloa,MX,67.1,overcast clouds,25.0,-107.5,
207,San Cristobal,VE,64.98,scattered clouds,7.7669,-72.225,Pirineos
209,Jumla,NP,36.03,clear sky,29.2747,82.1838,Royal Garden Hotel
210,Plouzane,FR,51.85,light rain,48.3833,-4.6167,Lymina
211,Voorst,NL,44.15,broken clouds,52.1667,6.1333,Thermen Bussloo Wellness & Hotel
215,Barcelos,PT,60.94,overcast clouds,41.5388,-8.6151,Hotel Do Terço
216,Dutse,NG,55.2,clear sky,11.7594,9.3392,Kaci
217,Darnah,LY,59.77,scattered clouds,32.767,22.6367,فندق الفردوس
219,Cabo San Lucas,MX,72.05,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
220,Gaurela,IN,56.07,clear sky,22.75,81.9,Katni Radhika Hotel
221,Coihaique,CL,55.35,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
223,Lata,PT,61.07,overcast clouds,40.1629,-8.3327,Terraços da Beira
224,Riberalta,BO,74.52,overcast clouds,-10.9833,-66.1,Hotel Colonial
227,Constitucion,CL,57.29,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
228,Hastings,GB,49.91,scattered clouds,50.8552,0.5729,Zanzibar Hotel
229,Xuddur,SO,68.02,clear sky,4.1213,43.8894,Banjanay Hotel
230,Saint-Pierre,RE,73.9,light rain,-21.3393,55.4781,Alize Plage
235,Shenjiamen,CN,47.16,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
237,Bondo,CD,65.64,clear sky,3.8146,23.6866,
242,Yining,CN,42.42,clear sky,29.0361,114.5636,Xiushui Hotel
243,Cacapava Do Sul,BR,62.38,clear sky,-30.5122,-53.4914,Hotel Portal
244,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
245,Ise,JP,43.92,clear sky,34.4833,136.7,Ise Fresh
247,Rusape,ZW,59.7,clear sky,-18.5278,32.1284,Surrey Lodge
250,Salvador,SV,68.29,clear sky,13.8333,-88.9167,Chico's Ranch
251,Akyab,MM,67.03,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
252,Riyadh,SA,53.47,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
253,Rajapalaiyam,IN,71.55,few clouds,9.45,77.5667,Hotel Amil
256,Faya,SA,51.73,broken clouds,18.3851,42.4509,شيلة نسايم
260,Rio Grande,BR,64.33,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
261,Bongor,TD,62.37,scattered clouds,10.2806,15.3722,Oryx Palace
262,Mozarlandia,BR,71.83,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
263,Vilhena,BR,67.86,overcast clouds,-12.7406,-60.1458,Hotel Mirage
264,Harlow,GB,43.81,scattered clouds,51.7766,0.1116,"Holiday Inn Express Harlow, an IHG Hotel"
265,Basco,PH,74.21,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
267,Emilio Carranza,MX,71.28,overcast clouds,19.9711,-96.6114,Maranch
268,Kaya,BF,66.85,scattered clouds,13.0917,-1.0844,Maison de l'appelé
270,Buta,CD,66.11,scattered clouds,2.7858,24.73,Hôtel BOPANDO
272,Methoni,GR,55.22,few clouds,36.8197,21.7049,Methoni Beach Hotel
273,Ancud,CL,53.4,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
274,Amalapuram,IN,72.73,clear sky,16.5833,82.0167,swayamprabha service apartments
276,Rio Gallegos,AR,47.34,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
279,Imbituba,BR,70.63,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
281,El Dorado,US,45.64,light rain,38.7666,-120.5177,South Fork Group Campground
282,Waipawa,NZ,57.9,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
285,Otane,NZ,73.0,clear sky,-39.8833,176.6333,Ludlow Farmstay
286,Barreiras,BR,69.22,clear sky,-12.1528,-44.99,Hotel Solar das Mangueiras - Barreiras
287,Alta Floresta,BR,71.42,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
289,Santa Maria,BR,65.84,clear sky,-29.6842,-53.8069,Hotel Morotin
291,Arlit,NE,59.95,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
293,Mount Gambier,AU,69.66,scattered clouds,-37.8333,140.7667,The Commodore
294,Mayenne,FR,40.44,overcast clouds,48.3333,-0.6667,la Tour des Anglais
298,Along,IN,52.9,clear sky,28.1667,94.7667,Hotel West
301,Kabo,CF,66.06,broken clouds,7.6994,18.629,
303,Nishihara,JP,60.85,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
304,Zahirabad,IN,67.75,clear sky,17.6833,77.6167,OYO 26991 Stanza Luxurios Stay
308,Freeport,US,48.16,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
312,Khudumelapye,BW,66.27,light rain,-23.8833,24.75,
313,Le Port,RE,74.25,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
314,Chuy,UY,59.18,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
316,San Patricio,US,70.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
317,Kuito,AO,59.59,light rain,-12.3833,16.9333,Herdeiros de Antunes Capusso
320,Aswan,EG,55.22,clear sky,24.0934,32.907,Nuba Nile
324,Atar,MR,72.43,broken clouds,20.5169,-13.0499,Oumou Elghoura
326,Bad Gandersheim,DE,47.37,broken clouds,51.8667,10.0333,Ferienwohnungen-Bad-Gandersheim
327,Patacamaya,BO,47.1,overcast clouds,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
328,Fereydun Kenar,IR,49.86,light rain,36.6864,52.5225,Khezer Shahr Tourist Hotel
330,Sitka,US,35.08,snow,57.0531,-135.33,Westmark Sitka
333,Bapatla,IN,73.78,clear sky,15.9,80.4667,Kumar Hotel
334,Half Moon Bay,US,55.24,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
335,Lagoa,PT,62.22,light rain,39.05,-27.9833,Casa Das Faias
337,Taunggyi,MM,57.42,broken clouds,20.7833,97.0333,True Treasure Hotel
338,Ocean City,US,42.01,clear sky,39.2776,-74.5746,Biscayne Suites
341,Wageningen,NL,43.99,few clouds,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
344,Talara,PE,72.36,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
345,Los Llanos De Aridane,ES,66.13,clear sky,28.6585,-17.9182,Valle Aridane
346,Umm Kaddadah,SD,57.02,clear sky,13.6017,26.6876,
347,Rafai,CF,65.61,scattered clouds,4.95,23.9167,
349,Na Wa,TH,64.11,broken clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
350,Lebu,CL,58.48,clear sky,-37.6167,-73.65,Hostal Las Lilas
351,Morgan City,US,66.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
356,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
357,Camacha,PT,62.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
359,Chor,PK,61.47,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
360,Kaitangata,NZ,59.95,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
362,Macae,BR,72.34,moderate rain,-22.3708,-41.7869,Golden Tulip Macaé
363,Porto Walter,BR,72.23,overcast clouds,-8.2686,-72.7439,Hotel Silva
364,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
365,Odweyne,SO,61.34,scattered clouds,9.4092,45.064,Eng Hiirey House
367,Indiana,US,55.58,overcast clouds,40.0003,-86.2503,
368,Abha,SA,52.05,scattered clouds,18.2164,42.5053,Abha Hotel
370,Tonk,IN,58.41,few clouds,26.1667,75.7833,Hotel sheetal Resort & Midway Restaurant
372,Hoquiam,US,47.93,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
373,Itoman,JP,61.57,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
376,Arraial Do Cabo,BR,72.18,light rain,-22.9661,-42.0278,Pousada Porto Praia
380,Naze,JP,55.42,light rain,28.3667,129.4833,Shishime Hotel
386,Bara,NG,57.72,clear sky,10.3744,10.7288,
387,Lock Haven,US,45.91,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
388,Matay,EG,52.92,clear sky,28.419,30.7792,الحاج سلطان
389,Eyl,SO,73.78,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
390,Viedma,AR,65.12,broken clouds,-40.8135,-62.9967,Hotel Cristal
391,Tatawin,TN,54.97,broken clouds,32.9297,10.4518,Auberge Alferdaous
392,Aljezur,PT,57.9,overcast clouds,37.3191,-8.8033,Amazigh Hostel
397,Masvingo,ZW,67.89,clear sky,-20.0637,30.8277,River Side Lodge
399,Moissala,TD,65.44,overcast clouds,8.3404,17.7663,
400,Laredo,US,64.69,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
401,Stornoway,GB,35.56,few clouds,58.2093,-6.3865,Caladh Inn
402,Matara,LK,74.53,few clouds,5.9485,80.5353,Amaloh Boutique Resort
404,Tuatapere,NZ,61.14,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
406,Forestville,US,46.62,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
410,Caohe,CN,43.03,clear sky,30.2297,115.4335,Ai Jing Hotel
412,Ukiah,US,50.14,moderate rain,39.1502,-123.2078,Hampton Inn Ukiah
414,Oriximina,BR,73.2,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
416,Saldanha,ZA,59.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
417,Rawson,AR,62.87,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
420,Alto Araguaia,BR,68.43,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
421,Tura,IN,57.36,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
426,Lusambo,CD,68.11,overcast clouds,-4.9667,23.45,
428,Itapirapua,BR,71.2,broken clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
429,Adre,TD,57.54,scattered clouds,13.4667,22.2,
434,Rio Cuarto,AR,74.97,clear sky,-33.1307,-64.3499,Hotel Menossi
435,Khonsa,IN,54.66,clear sky,27.0167,95.5667,
436,Vredendal,ZA,65.68,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
438,Saint George,US,39.43,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
439,Guiratinga,BR,70.39,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
440,Flinders,AU,69.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
442,Ondangwa,,74.8,overcast clouds,-17.9167,15.95,Protea by Marriott Hotel Ondangwa
443,Cascais,PT,63.16,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
445,Correntina,BR,68.5,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
446,De Aar,ZA,50.23,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
447,Allapalli,IN,64.18,clear sky,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
448,Araouane,ML,70.3,overcast clouds,18.9048,-3.5265,
449,Mattru,SL,73.36,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
453,Thaba-Tseka,LS,49.28,overcast clouds,-29.522,28.6084,Motherland Guesthouse
455,Amnat Charoen,TH,67.28,few clouds,15.9167,104.75,หอพักนักศึกษา
463,Dunedin,NZ,59.81,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
464,Galle,LK,74.23,few clouds,6.0367,80.217,Amangalla
465,Gazojak,TM,39.16,overcast clouds,41.1875,61.4036,
466,Khorixas,,73.72,overcast clouds,-20.3667,14.9667,Khorixas Lodge
467,Mbandaka,CD,71.89,overcast clouds,0.0487,18.2603,Guest House Epervier
475,Huarmey,PE,70.7,overcast clouds,-10.0681,-78.1522,Hotel Miramar
476,Tha Bo,TH,67.86,broken clouds,17.85,102.5814,บ้านพักริมโขง รีสอร์ท
479,Maracacume,BR,72.37,overcast clouds,-2.0428,-45.9592,Hotel Ramos
480,Zvishavane,ZW,68.77,clear sky,-20.3267,30.0665,Hotel Boutique Runde
483,Bull Savanna,JM,72.88,clear sky,17.8868,-77.5902,Big Red's
484,Khandbari,NP,52.75,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
486,Beira,MZ,73.22,clear sky,-19.8436,34.8389,Beira Terrace Hotel
490,Saint-Francois,FR,40.68,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
491,Lubango,AO,59.25,light rain,-14.9172,13.4925,Hotel Serra da Chela
493,Straumen,NO,39.2,light rain,63.8709,11.2999,Jægtvolden Fjordhotell
495,Zerbst,DE,45.52,overcast clouds,51.9667,12.0833,Sporthotel Wallwitz
496,Dondo,MZ,70.3,clear sky,-19.6094,34.7431,Pensao Casual
499,Ambovombe,MG,73.24,clear sky,-25.1667,46.0833,RELAHARA
501,Kouango,CF,71.87,overcast clouds,4.9934,19.9619,
503,Sakakah,SA,45.9,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
504,Prieska,ZA,61.09,clear sky,-29.6641,22.7474,Avenue GuestHouse
506,Pacific Grove,US,54.43,overcast clouds,36.6177,-121.9166,Lovers Point Inn
507,Benicarlo,ES,60.91,broken clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
508,Presidente Medici,BR,71.98,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
510,San Carlos De Bariloche,AR,56.08,overcast clouds,-41.1456,-71.3082,Hotel Patagonia
512,Sur,OM,70.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
517,Aripuana,BR,72.43,overcast clouds,-9.1667,-60.6333,
527,Nantucket,US,48.34,clear sky,41.2835,-70.0995,Jared Coffin House
528,Dunda,TZ,63.57,light rain,-8.1167,34.25,
529,Guerrero Negro,MX,60.46,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
530,Oda,JP,44.38,overcast clouds,35.1833,132.5,Sky Hotel Oda
531,Preston,GB,45.86,overcast clouds,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
533,Carahue,CL,55.44,scattered clouds,-38.7,-73.1667,Hospedaje Familiar
535,Lafiagi,NG,68.31,scattered clouds,8.8667,5.4167,Bus group international
537,Santa Cruz,BO,72.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
540,Coahuayana,MX,71.11,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
543,San Luis,AR,73.47,clear sky,-33.295,-66.3356,Huarpes Hotel
545,Ambilobe,MG,73.17,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
547,Gaya,IN,48.11,fog,24.7833,85.0,Hotel Viraat Inn Gaya
550,Huttwil,CH,43.48,light rain,47.115,7.8621,Villa Lavendel
551,Malibu,US,58.82,overcast clouds,34.005,-118.8101,Malibu Country Inn
554,Lagos,NG,70.86,broken clouds,6.5833,3.75,
557,Paita,PE,69.75,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
558,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
561,Simi,SL,74.32,overcast clouds,9.5667,-12.35,
568,Mayo,US,46.49,clear sky,38.8876,-76.5119,Resorts Resource Group International
