City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
397,Bang Saphan,11.2126,99.5117,86.85,62,24,0.67,TH,2022-04-17 01:49:32
398,Novikovo,51.1537,37.8879,46.49,93,100,9.4,RU,2022-04-17 01:49:32
399,Carbonia,39.1672,8.5222,54.25,75,48,2.64,IT,2022-04-17 01:49:32
400,Richards Bay,-28.783,32.0377,63.59,88,100,7.27,ZA,2022-04-17 01:49:33
401,Inta,66.0317,60.1659,14.22,95,90,8.63,RU,2022-04-17 01:49:33
402,Muroto,33.2833,134.15,59.34,47,54,2.39,JP,2022-04-17 01:49:34
403,Griffith,41.5284,-87.4237,42.48,75,75,8.05,US,2022-04-17 01:49:34
404,Lanigan,51.8501,-105.0344,30.09,91,100,6.17,CA,2022-04-17 01:48:44
405,Jalu,29.0331,21.5482,70.93,44,100,14.83,LY,2022-04-17 01:46:38
406,Lata,40.1629,-8.3327,49.57,92,84,1.68,PT,2022-04-17 01:49:35
407,Blagoyevo,63.3667,47.9167,19.53,96,29,4.43,RU,2022-04-17 01:49:35
408,Acapulco,16.8634,-99.8901,78.89,65,6,6.04,MX,2022-04-17 01:49:36
409,Tuskegee,32.424,-85.6916,65.55,100,100,6.82,US,2022-04-17 01:49:36
410,Medea,36.2642,2.7539,47.53,65,0,1.72,DZ,2022-04-17 01:49:36
411,Komsomolskiy,40.4272,71.7189,61.52,44,81,4.61,UZ,2022-04-17 01:48:20
412,Kununurra,-15.7667,128.7333,91.38,52,93,6.91,AU,2022-04-17 01:49:37
413,Terra Santa,-2.1042,-56.4869,74.41,97,100,0.81,BR,2022-04-17 01:50:38
414,Pedro Juan Caballero,-22.5472,-55.7333,61.16,69,88,7.7,PY,2022-04-17 01:50:38
415,Lujan,-34.5703,-59.105,64.94,90,86,7.18,AR,2022-04-17 01:50:38
416,Jumla,29.2747,82.1838,55.99,37,0,2.04,NP,2022-04-17 01:48:00
417,Namatanai,-3.6667,152.4333,84.38,71,70,7.52,PG,2022-04-17 01:50:39
418,Ewa Beach,21.3156,-158.0072,78.75,73,75,16.11,US,2022-04-17 01:46:51
419,Russell,32.3502,-85.1999,69.4,93,0,4.61,US,2022-04-17 01:50:40
420,Pimentel,-6.8367,-79.9342,66.49,85,61,12.59,PE,2022-04-17 01:50:40
421,Uray,60.1247,64.7758,31.3,95,98,6.78,RU,2022-04-17 01:50:40
422,Plettenberg Bay,-34.0527,23.3716,57.36,79,2,4.45,ZA,2022-04-17 01:49:07
423,Coquimbo,-29.9533,-71.3436,56.93,88,100,3.44,CL,2022-04-17 01:50:41
424,Koygorodok,60.445,50.9968,19.02,96,63,1.92,RU,2022-04-17 01:50:41
